Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_loess	adjusted_surp	adjusted_prob
0	0	The	1	False	erwanf/gpt2-mini	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	6500900	15.687451340644257	1.1057871238009316	-1.1057871238009316	3.021601907792979
1	1	 rock	1	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	15608	9.655602949958412	8.00759647345294	4.400196571591003	0.01227492676401547
2	2	 was	1	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	680189	13.430127449888799	3.5512056612090133	1.7706641889496781	0.17021989309908944
3	3	 too	1	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	82076	11.315413110029038	6.403534808404899	2.2655192229671712	0.10377613759565792
4	4	 hard	1	False	erwanf/gpt2-mini	0.0243917014449834	5.357465744018555	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	37982	10.544893970188363	7.489499026565032	-2.1320332825464776	8.431994019584797
5	5	 to	1	False	erwanf/gpt2-mini	0.423286110162735	1.2402948141098022	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	3042375	14.928149347056001	2.468825902944529	-1.228531088834727	3.416207743211777
6	6	 break	1	False	erwanf/gpt2-mini	0.0097861438989639	6.67504358291626	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	13589	9.51708950714519	7.9806613920699085	-1.3056178091536488	3.6899680857014876
7	7	 with	1	False	erwanf/gpt2-mini	0.0052905767224729	7.56235933303833	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	881608	13.689503926040112	3.647868052349381	3.914491280688949	0.0199506953685169
8	8	 a	1	False	erwanf/gpt2-mini	0.0192209128290414	5.701179027557373	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	2959949	14.900682934265681	2.517927779434652	3.183251248122721	0.04145066939298284
9	9	 hammer.	1	False	erwanf/gpt2-mini	0.1304601788870058	5.677282989025116	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	1700	7.438971592395862	9.613842602720137	-3.936559613695021	51.24200540203294
10	0	The	2	False	erwanf/gpt2-mini	1.0	0.0	0	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	6500900	15.687451340644257	1.1057871238009316	-1.1057871238009316	3.021601907792979
11	1	 rock	2	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	15608	9.655602949958412	8.00759647345294	4.400196571591003	0.01227492676401547
12	2	 was	2	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	680189	13.430127449888799	3.5512056612090133	1.7706641889496781	0.17021989309908944
13	3	 too	2	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	82076	11.315413110029038	6.403534808404899	2.2655192229671712	0.10377613759565792
14	4	 solid	2	False	erwanf/gpt2-mini	0.0029934062622487	8.38399600982666	4	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	7280	8.893023494394711	8.215134129370252	0.16886188045640793	0.844625554626052
15	5	 to	2	False	erwanf/gpt2-mini	0.3570209741592407	1.4859191179275513	5	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	3042375	14.928149347056001	2.468825902944529	-0.9829067850169779	2.6722125108536825
16	6	 break	2	False	erwanf/gpt2-mini	0.0066040414385497	7.242434978485107	6	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	13589	9.51708950714519	7.9806613920699085	-0.7382264135848011	2.0922214862872845
17	7	 with	2	False	erwanf/gpt2-mini	0.0101092960685491	6.628173351287842	7	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	881608	13.689503926040112	3.647868052349381	2.9803052989384606	0.050777329233532315
18	8	 a	2	False	erwanf/gpt2-mini	0.0476637706160545	4.390963077545166	8	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	2959949	14.900682934265681	2.517927779434652	1.8730352981105138	0.15365655981117235
19	9	 hammer.	2	False	erwanf/gpt2-mini	0.1200654366984963	5.812570691108704	9	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	1700	7.438971592395862	9.613842602720137	-3.8012719116114333	44.758076622112476
20	0	The	3	False	erwanf/gpt2-mini	1.0	0.0	0	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	6500900	15.687451340644257	1.1057871238009316	-1.1057871238009316	3.021601907792979
21	1	 ground	3	False	erwanf/gpt2-mini	0.0003732984478119	11.38738250732422	1	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	25140	10.132255258600559	7.659121510380711	3.7282609969435097	0.024034595751348725
22	2	 was	3	False	erwanf/gpt2-mini	0.055216547101736	4.178755283355713	2	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	680189	13.430127449888799	3.5512056612090133	0.6275496221466996	0.5338984524019545
23	3	 hard	3	False	erwanf/gpt2-mini	0.0013452394632622	9.537920951843262	3	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	37982	10.544893970188363	7.489499026565032	2.0484219252782294	0.12893821726485988
24	4	 after	3	False	erwanf/gpt2-mini	0.0008042879635468	10.279999732971191	4	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	152950	11.937872887642017	5.044271229689047	5.235728503282145	0.005322945287875566
